Timestamp,I have good working relationships with my co-workers.,There is good communication between me and my supervisor. ,Conflicts are resolved in a positive and constructive manner.,I feel favoritism is not a problem in my department.,My Supervisor works to improve communications in all directions and does a good job of sharing information. ,My skills and abilities match the work I do.,I look for another job outside the company. ,The management at Varks.am cares about employees․ ,Varks.am focuses on providing excellent customer service.,The pay at Varks.am is competitive to that of similar organizations.,My work arrangements allow me to balance my personal life with my work.,"Overall, I am satisfied with my work. ",My current workplace is close to where I live.,"If I get non-monetary rewards (such as insurance, training, ""best employee of the month"" reward), I will feel satisfied and will work harder.","If I get monetary bonuses when I serve more customers, I will feel satisfied and work harder.",I will recommend a friend/relative to work at Varks.am․,I will recommend a friend/relative to use Varks.am services in case of a loan need.,I foresee myself working here one year from now.,I feel stressed at work.,Things that will motivate me to stay,I enjoy coming to work. ,Reasons why I want to stay here.
2017/11/24 5:48:43 PM GMT+4,Agree,Disagree ,Strongly disagree ,Strongly agree ,Strongly disagree  ,Strongly agree,Disagree ,Strongly disagree,Strongly Disagree ,Agree,Agree,Disagree,No,,Strongly agree,1,5,Yes,,,Disagree,
2017/11/24 6:05:25 PM GMT+4,Strongly Agree,Agree ,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,Yes,Strongly agree ,,8,10,Yes,,,Strongly agree,Fair Pay;Good working staf;Promotion opportunities;I love communicating with customers 
2017/11/24 6:08:26 PM GMT+4,Strongly Disagree ,Strongly disagree ,Strongly disagree ,Strongly disagree ,Strongly disagree  ,Strongly agree,Strongly agree,Strongly disagree,Strongly Disagree ,Strongly disagree,Strongly disagree,Disagree,No,,Agree ,6,2,No,Strongly agree,Higher salary,,
2017/11/24 6:09:00 PM GMT+4,Agree,Agree ,Agree,Disagree ,Agree,Agree,Disagree ,Agree ,Agree,Agree,Agree,Agree ,No,,Agree ,10,9,Yes,,,Agree,Promotion opportunities 
2017/11/24 6:09:29 PM GMT+4,Strongly Agree,Agree ,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Agree,Strongly agree,No,,,10,10,Yes,,,Strongly agree,Good working staff ;Promotion opportunities 
2017/11/24 6:14:25 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Strongly disagree,Agree ,No,,Agree ,5,5,Yes,,,Agree,Fair Pay;Good working staff;Good communication with my supervisor ;Promotion opportunities 
2017/11/24 6:25:53 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Strongly Agree ,Strongly agree,Strongly agree ,Strongly agree,Yes,Strongly agree ,,10,10,Yes,,,Strongly agree,Fair Pay;Flexible working hours ;Location of the branch;Good working staff;Good communication with my supervisor ;Promotion opportunities
2017/11/24 6:26:48 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Disagree ,Strongly agree,Agree,Disagree ,Agree ,Strongly Agree ,Agree,Disagree,Agree ,Yes,Strongly agree ,,9,9,Yes,,,Agree,I love communicating with customers 
2017/11/24 6:31:45 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Strongly agree,Agree ,Strongly agree,Strongly Agree ,Agree,Strongly disagree,Agree ,Yes,"Լիովին համաձայն եմ, + դրամական պարգևներ",,8,9,Yes,,,Agree,Flexible working hours;Location of the branch ;Good working staff ;Good communication with my supervisor ;Promotion opportunities ;I love communicating with customers
2017/11/24 6:45:26 PM GMT+4,Strongly Agree,Strongly agree,Agree,Strongly agree ,Strongly agree,Strongly agree,Disagree ,Agree ,Strongly Agree ,Agree,Agree,Agree ,No,,Strongly agree,10,8,Yes,,,Agree,"Fair Pay;Flexible working hours;Location of the branch ;Good working staff;Good communication with my supervisor ;Promotion opportunities ;I am just a fresh graduate with no work-experience, so I will stay here a little bit longer to have this in my CV."
2017/11/24 6:55:25 PM GMT+4,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Agree ,Yes,Agree,,9,9,Yes,,,Agree,"Fair Pay, Location of the branch"
2017/11/24 7:02:35 PM GMT+4,Strongly Agree,Agree ,Agree,Disagree ,Disagree ,Strongly agree,Agree ,Agree ,Disagree ,Strongly agree,Disagree,Agree ,Yes,Strongly agree ,,9,5,No,Strongly agree,Better Working conditions ;Fixed working schedule ;Better communication with my supervisor ;Better customer relationship ,,
2017/11/24 7:07:48 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Agree,Strongly agree,Strongly agree ,Strongly agree,Yes,Strongly agree ,,9,8,Yes,,,Strongly agree,Fair Pay;Good working staff ;Good communication with my supervisor ;Promotion opportunities
2017/11/24 7:12:04 PM GMT+4,Agree,Strongly agree,Agree,Disagree ,Agree,Agree,Disagree ,Agree ,Agree,Strongly agree,Agree,Agree ,Yes,Agree,,9,10,Yes,,,Agree,Good working staff 
2017/11/24 7:17:44 PM GMT+4,Agree,Agree ,Strongly disagree ,Agree,Disagree ,Strongly agree,Agree ,Strongly disagree,Disagree ,Disagree,Disagree,Disagree,No,,Strongly agree,3,5,Yes,,,Disagree,I love communicating with customers
2017/11/24 7:29:33 PM GMT+4,Strongly Agree,Strongly agree,Strongly agree,Strongly agree ,Strongly agree,Agree,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Agree,Strongly agree,Yes,Agree,,10,10,Yes,,,Strongly agree,Flexible working hours;Location of the branch ;Good working staff;I love communicating with customers 
2017/11/24 7:32:52 PM GMT+4,Strongly Agree,Agree ,Agree,Agree,Agree,Agree,Strongly disagree ,Agree ,Agree,Strongly agree,Agree,Agree ,Yes,Agree,,9,8,Yes,,,Agree,Fair Pay;Good working staff;I love communicating with customers 
2017/11/24 7:39:38 PM GMT+4,Agree,Agree ,Agree,Agree,Strongly agree,Agree,Disagree ,Agree ,Agree,Disagree,Agree,Strongly agree,No,,Agree ,10,10,Yes,,,Agree,Promotion opportunities;I love communicating with customers
2017/11/24 7:44:55 PM GMT+4,Agree,Agree ,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree ,Strongly agree,Strongly Agree ,Agree,Disagree,Agree ,Yes,Strongly disagrees,,10,10,Yes,,,Strongly agree,I love communicating with customers 
2017/11/24 10:02:38 PM GMT+4,Strongly Disagree ,Strongly agree,Disagree,Agree,Agree,Agree,Strongly disagree ,Agree ,Strongly Agree ,Agree,Strongly agree ,Strongly agree,Yes,,,10,8,Yes,,,Strongly agree,Good working staff;Promotion opportunities
2017/11/24 10:19:33 PM GMT+4,Agree,Agree ,Agree,Agree,Agree,Agree,Disagree ,Agree ,Agree,Agree,Disagree,Strongly agree,Yes,Strongly agree ,,9,5,Yes,,,Strongly agree,Fair Pay;Location of the branch;Good working staff;Good communication with my supervisor ;I love communicating with customers 
